verse_id,verse_text_arabic,primary_meter,confidence_1to5,alternative_meter,tafail_scansion,zihafat_positions,ilal_final,valid_example,naturalness_1to5,disambiguation_notes,additional_notes
V001,"كم من ليال قد مضت وانقضت والعمر يمضي سريعا لا يثبت",,,,,,,,,
V002,"ما لي حبيب سوى الأمل يأتي به الليل والأزل",,,,,,,,,
V003,"جاء الربيع بنوره فتفتحت أزهاره",,,,,,,,,
V004,"هل من سبيل إلى لقاء جديد أم أن هذا الفراق صار مقيم",,,,,,,,,
V005,"نادى المنادي فأقبل القوم والحلم صار حقيقة تحيا",,,,,,,,,
V006,"مرت سحب فوق الجبال الشوامخ والريح تعصف في الفضاء الواسع",,,,,,,,,
V007,"قالوا المحبة نور القلوب وقلت نعم هي سر الوجود",,,,,,,,,
V008,"سار الركب في الصحراء ليلا والنجوم تنير الطريق الطويل",,,,,,,,,
V009,"كرة طرحت بصوالجة فتلقفها رجل رجل",,,,,,,,,
V010,"مالي مال إلا درهم أو برذوني ذاك الأدهم",,,,,,,,,
V011,"زمت إبل للبين ضحى في غور تهامة قد سلكوا",,,,,,,,,
V012,"جاءنا عامر سالما صالحا بعد ما كان ما كان من عامر",,,,,,,,,
V013,"يا ليل الصب متى غده أقيام الساعة موعده",,,,,,,,,
